,index,id,score,index,cv_id,score
32,32,5b20d30b611c6f728256399a,71,9,5aa7f426f0f074046641c495,0.33836625312827046
33,33,5b023ad3611ca3a15ee70cbd,71,53,5b87a1f6f0f088df9c2bac22,0.3383004562251918
34,67,5c24da60f0f0c76dab420c30,70,11,5961b469f0f0d91c94872d5a,0.3339383894396953
35,81,59c8a0f2f0f0b7880c122738,70,22,586d76f1f0f0117de95c4af0,0.32920472568673426
36,79,58fe158cf0f0847a4b529645,70,36,58fe158cf0f0847a4b529645,0.3282088955801433
37,82,59ed8273f0f080eb240e4ab9,70,60,5ba2181ef0f04220ddcb99cc,0.32802050414636896
38,90,595db449f0f0c0c269a65d57,70,41,58e5ae2ef0f0b66f82689990,0.32769813569655765
39,94,5955ea75f0f08da84aa463dc,68,57,5b42d2fc611cffacc1893b80,0.32741316231334633
40,91,598d9ccaf0f0a3e821218c6d,68,68,5af91c0f611c49b2ebc4ae0b,0.32451134076997823
41,75,58e5ae2ef0f0b66f82689990,66,73,5c696dd7f0f024404951f15a,0.32262554568961443
42,41,5b479bb8611c56f0bf22a82b,66,52,5b2de6d7611c11dc7d1902ff,0.3212939409984828
43,92,5926cc17f0f030cd29e701ad,66,42,5b479bb8611c56f0bf22a82b,0.3200930009335364
44,61,5bdfe471f0f04fac59674f15,65,80,5c6f5201f0f081041f2e7c00,0.3192615349986809
45,86,586fde19f0f0648ce714ca15,65,1,58b6b4ffb1222c305523f069,0.3190929238082673
46,98,59298aabf0f0e0e2bd4ed241,63,63,5c1902c0f0f03a3df144d78a,0.3189641148290693
47,96,58751c98f0f0bf89e981513d,62,18,586fde90f0f0648ce719dd85,0.318292471440407
48,88,595baf95f0f0c0c266ce3228,61,25,58d011ddb122271ae751d4b0,0.3182287819169044
49,58,5bc60de7f0f094ee3f6fab2c,61,69,5b62880ff0f0dac547c5a45b,0.31489747066803214
50,56,5bafde0af0f07d4640f24340,61,21,58cf934bb122271ae6dc3a75,0.31291409642216206
51,99,598482c2f0f0eb0b8c11373d,61,33,5b023ad3611ca3a15ee70cbd,0.31187538371753487
52,21,5b2de6d7611c11dc7d1902ff,61,35,59c8a0f2f0f0b7880c122738,0.3093061494328252
53,39,5b87a1f6f0f088df9c2bac22,61,59,59f9d903f0f00a3a6efe684c,0.30499421479641475
54,37,5b056b9b611cc7db3029c60d,60,64,5ac38d9ff0f01dbca63c347b,0.3043832181401507
55,60,5bd04818f0f0111376afbd3d,60,4,595c7c79f0f0dcff9b039f26,0.3038142576693557
56,29,5b7bbf4ef0f07b8bfa5f88ae,60,43,5926cc17f0f030cd29e701ad,0.3031186688038251
57,35,5b42d2fc611cffacc1893b80,57,5,5b02d273611cd9a3b1eac331,0.30258728206981145
58,70,5c5109b3f0f0531757c4b4c7,57,23,5b3de297611ccd659e323672,0.3021028893965298
59,83,59f9d903f0f00a3a6efe684c,57,48,595baf95f0f0c0c266ce3228,0.2981699812379381
60,54,5ba2181ef0f04220ddcb99cc,56,38,595db449f0f0c0c269a65d57,0.29277901728081657
61,18,5b2b76ba611cf2b142873d0c,56,12,5bd17c79f0f0111376f855bb,0.2924664363325612
62,63,5c1a0063f0f03a3df1860d35,55,50,5bafde0af0f07d4640f24340,0.29197461675292197
63,69,5c1902c0f0f03a3df144d78a,55,78,5afd46a9f0f015df1b21a07c,0.28897193216358774
64,9,5ac38d9ff0f01dbca63c347b,54,13,5ba90ed8f0f00da092b62673,0.2873599338088615
65,34,5b39b816611c19891b6359c7,52,91,5c2f4f47f0f0b16f80cb98a7,0.286411035462529
66,97,59213af2f0f0c1690d5b8264,51,54,5b056b9b611cc7db3029c60d,0.2852384503503162
67,42,5b594e75611c34fcbce8c063,51,85,5bac952ff0f00da093b5de7e,0.28522599199289383
68,13,5af91c0f611c49b2ebc4ae0b,50,27,5950bfc6f0f01f4bd038abfb,0.28294532764937447
69,48,5b62880ff0f0dac547c5a45b,50,51,598482c2f0f0eb0b8c11373d,0.2792891773470397
70,47,5b44528f611c56f0bd7047a9,50,87,5b42ff3f611cffacc1ad5bf7,0.278858958824387
71,45,5b1147a8611c2aae73b9b367,50,24,586d7663f0f0117de94f2eeb,0.27677184941009536
72,8,5aabb575f0f00ddd5f841ffd,50,30,5acb7e18f0f0d2727e40f73c,0.27583642981664175
73,68,5c696dd7f0f024404951f15a,50,20,59bb8ee4f0f0f9762aacdd0c,0.2744770632315738
74,43,5b782a85f0f079b3bb0ac407,50,95,5ba0a88df0f04220dd58de6b,0.27343152106973495
75,46,5b10121e611cf2efd57fb697,50,39,5955ea75f0f08da84aa463dc,0.2733109778232614
76,65,5c3b8eeef0f00697b4d73f0d,50,65,5b39b816611c19891b6359c7,0.27285832692395096
77,10,5ac58242f0f0d272770cca9f,49,93,5b13f9d4611c47ba2871095c,0.27244547169356814
78,14,5afd46a9f0f015df1b21a07c,48,71,5b1147a8611c2aae73b9b367,0.26521007175979006
79,2,5a4b9588f0f0b497f6c4d803,48,29,5a983a73f0f0df3ee1b0ed3e,0.2557818001939475
80,66,5c6f5201f0f081041f2e7c00,47,83,5c6772f7f0f02440490aa66a,0.2554444237873994
81,50,5ba0a9d5f0f04220dd59b61f,46,56,5b7bbf4ef0f07b8bfa5f88ae,0.2545689627778942
82,30,5b8e5e42f0f09d58d41215cb,45,47,58751c98f0f0bf89e981513d,0.25297591201431247
83,71,5c6772f7f0f02440490aa66a,45,81,5ba0a9d5f0f04220dd59b61f,0.243496273151671
84,28,5b7a47d9f0f079b3bb902991,45,92,5b0b685b611c023fbe918a6e,0.24344913817108585
85,55,5bac952ff0f00da093b5de7e,45,67,5b594e75611c34fcbce8c063,0.23940858381584199
86,57,5bbe9284f0f02f8d4e5b21ba,45,97,58b90b69b12247ace43bcc99,0.23300561219162563
87,36,5b42ff3f611cffacc1ad5bf7,45,98,5c00bee5f0f0876e68cc2dbf,0.22957364396010949
88,17,5b1bfddf611c49548fa340fd,45,45,586fde19f0f0648ce714ca15,0.22350906801806272
89,26,5b4ef682611c3e897a454dad,41,10,5b2bde2d611cf2b142c1d06f,0.2150352394057617
90,44,5b798c1ef0f079b3bb51bb3c,40,61,5b2b76ba611cf2b142873d0c,0.17338966297710456
91,64,5c2f4f47f0f0b16f80cb98a7,40,74,5b782a85f0f079b3bb0ac407,0.16691245486626485
92,15,5b0b685b611c023fbe918a6e,40,66,59213af2f0f0c1690d5b8264,0.1635334560632897
93,31,5b13f9d4611c47ba2871095c,40,17,58e5ae6df0f014cf1e37056e,0.15417592612414008
94,24,5b3ed9d0611ccd659eb18b68,40,82,5b8e5e42f0f09d58d41215cb,0.14224997179591858
95,51,5ba0a88df0f04220dd58de6b,40,46,59298aabf0f0e0e2bd4ed241,0.12151621397772858
96,25,5b4ddf40611c3e8979b89df0,25,99,5b72a24df0f00fbf8a771610,0.11722902647470715
97,72,58b90b69b12247ace43bcc99,0,77,5ac58242f0f0d272770cca9f,0.025867727127955497
98,62,5c00bee5f0f0876e68cc2dbf,0,88,5b1bfddf611c49548fa340fd,0.0
99,38,5b72a24df0f00fbf8a771610,0,79,5a4b9588f0f0b497f6c4d803,0.0
